"Design.";"model_file";"Performance";"Pressure.Drop.1";"Toutlet.Average";"Toutlet.Standard.Deviation"
61;"mf_(1_0,200,90_0,20,0,4).stl";"-0.989038";"1.54188";"17.0293";"0.597625"
62;"mf_(1_0,200,90_0,20,0,6).stl";"-1.01201";"1.56784";"17.022";"0.601003"
63;"mf_(1_0,200,90_0,20,0,8).stl";"-1.0632";"1.62612";"17.0063";"0.608381"
64;"mf_(1_0,200,90_0,20,12,4).stl";"-1.04696";"1.55971";"17.013";"0.625237"
65;"mf_(1_0,200,90_0,20,12,6).stl";"-1.02477";"1.55296";"17.0106";"0.614316"
66;"mf_(1_0,200,90_0,20,12,8).stl";"-1.07517";"1.58187";"17.0078";"0.633401"
67;"mf_(1_0,200,90_0,24,0,4).stl";"-1.0146";"1.55769";"17.0238";"0.606704"
68;"mf_(1_0,200,90_0,24,0,6).stl";"-1.02023";"1.59889";"17.0067";"0.593068"
69;"mf_(1_0,200,90_0,24,0,8).stl";"-1.0505";"1.59297";"17.011";"0.614044"
70;"mf_(1_0,200,90_0,24,12,4).stl";"-1.00997";"1.5444";"17.0288";"0.609364"
71;"mf_(1_0,200,90_0,24,12,6).stl";"-1.06748";"1.57292";"16.9966";"0.631885"
72;"mf_(1_0,200,90_0,24,12,8).stl";"-1.02551";"1.59484";"17.0326";"0.598837"
73;"mf_(2_5,200,112_5,12,0,4).stl";"-0.998408";"1.54925";"17.033";"0.600526"
74;"mf_(2_5,200,112_5,12,0,6).stl";"-1.07405";"1.62466";"16.9977";"0.615277"
75;"mf_(2_5,200,112_5,12,0,8).stl";"-1.0383";"1.59761";"17.0076";"0.60463"
76;"mf_(2_5,200,112_5,12,12,4).stl";"-1.01121";"1.56782";"17.0491";"0.601494"
77;"mf_(2_5,200,112_5,12,12,6).stl";"-1.00182";"1.60111";"17.0333";"0.581912"
78;"mf_(2_5,200,112_5,12,12,8).stl";"-1.04344";"1.62477";"17.0303";"0.597733"
79;"mf_(2_5,200,112_5,16,0,4).stl";"-1.00824";"1.56334";"17.0446";"0.601311"
80;"mf_(2_5,200,112_5,16,0,6).stl";"-1.05299";"1.61261";"17.015";"0.607861"
81;"mf_(2_5,200,112_5,16,0,8).stl";"-1.09728";"1.63487";"17.0386";"0.626825"
82;"mf_(2_5,200,112_5,16,12,4).stl";"-1.04845";"1.56458";"17.0252";"0.62464"
83;"mf_(2_5,200,112_5,16,12,6).stl";"-1.04951";"1.63432";"17.0107";"0.59692"
84;"mf_(2_5,200,112_5,16,12,8).stl";"-1.05907";"1.62565";"17.0297";"0.606887"
85;"mf_(2_5,200,112_5,20,0,4).stl";"-1.05887";"1.60721";"17.0344";"0.614298"
86;"mf_(2_5,200,112_5,20,0,6).stl";"-1.03148";"1.63881";"17.0256";"0.584664"
87;"mf_(2_5,200,112_5,20,0,8).stl";"-1.07181";"1.63067";"17.0193";"0.612285"
88;"mf_(2_5,200,112_5,20,12,4).stl";"-0.987651";"1.58159";"17.0225";"0.58068"
89;"mf_(2_5,200,112_5,20,12,6).stl";"-1.0433";"1.60357";"17.0114";"0.605436"
90;"mf_(2_5,200,112_5,20,12,8).stl";"-1.0747";"1.61332";"17.0025";"0.62037"
91;"mf_(2_5,200,112_5,24,0,4).stl";"-1.01804";"1.61846";"17.017";"0.58429"
92;"mf_(2_5,200,112_5,24,0,6).stl";"-1.10772";"1.68682";"17.0273";"0.612046"
93;"mf_(2_5,200,112_5,24,0,8).stl";"-1.10195";"1.72013";"17.0388";"0.59564"
94;"mf_(2_5,200,112_5,24,12,4).stl";"-1.03693";"1.54729";"17.0087";"0.623924"
95;"mf_(2_5,200,112_5,24,12,6).stl";"-1.07335";"1.65484";"17.0231";"0.603704"
96;"mf_(2_5,200,112_5,24,12,8).stl";"-1.06225";"1.60448";"16.9927";"0.61596"
97;"mf_(2_5,200,135_0,12,0,4).stl";"-0.998408";"1.54925";"17.033";"0.600526"
98;"mf_(2_5,200,135_0,12,0,6).stl";"-1.07405";"1.62466";"16.9977";"0.615277"
99;"mf_(2_5,200,135_0,12,0,8).stl";"-1.0383";"1.59761";"17.0076";"0.60463"
100;"mf_(2_5,200,135_0,12,12,4).stl";"-1.01121";"1.56782";"17.0491";"0.601494"
101;"mf_(2_5,200,135_0,12,12,6).stl";"-1.00182";"1.60111";"17.0333";"0.581912"
102;"mf_(2_5,200,135_0,12,12,8).stl";"-1.04344";"1.62477";"17.0303";"0.597733"
103;"mf_(2_5,200,135_0,16,0,4).stl";"-1.00824";"1.56334";"17.0446";"0.601311"
104;"mf_(2_5,200,135_0,16,0,6).stl";"-1.05299";"1.61261";"17.015";"0.607861"
105;"mf_(2_5,200,135_0,16,0,8).stl";"-1.09728";"1.63487";"17.0386";"0.626825"
106;"mf_(2_5,200,135_0,16,12,4).stl";"-1.04845";"1.56458";"17.0252";"0.62464"
107;"mf_(2_5,200,135_0,16,12,6).stl";"-1.04951";"1.63432";"17.0107";"0.59692"
108;"mf_(2_5,200,135_0,16,12,8).stl";"-1.05907";"1.62565";"17.0297";"0.606887"
109;"mf_(2_5,200,135_0,20,0,4).stl";"-1.05887";"1.60721";"17.0344";"0.614298"
110;"mf_(2_5,200,135_0,20,0,6).stl";"-1.03148";"1.63881";"17.0256";"0.584664"
111;"mf_(2_5,200,135_0,20,0,8).stl";"-1.07181";"1.63067";"17.0193";"0.612285"
112;"mf_(2_5,200,135_0,20,12,4).stl";"-0.987651";"1.58159";"17.0225";"0.58068"
113;"mf_(2_5,200,135_0,20,12,6).stl";"-1.0433";"1.60357";"17.0114";"0.605436"
114;"mf_(2_5,200,135_0,20,12,8).stl";"-1.0747";"1.61332";"17.0025";"0.62037"
115;"mf_(2_5,200,135_0,24,0,4).stl";"-1.01804";"1.61846";"17.017";"0.58429"
116;"mf_(2_5,200,135_0,24,0,6).stl";"-1.10772";"1.68682";"17.0273";"0.612046"
